word,meaning,example_sentences_1,meaning_example_sentences_1,example_sentences_2,meaning_example_sentences_2,image_url
言葉,nghĩa,この言葉の意味は何ですか？,Ý nghĩa của từ này là gì?,彼は新しい言葉を学ぶのが好きです。,Anh ấy thích học những từ mới.,https://caltechsites-prod.s3.amazonaws.com/ooguri70/images/sugaku2.width-420.jpg
見ます、診ます,chuẩn đoán,医者は患者を診ます。,Bác sĩ sẽ khám cho bệnh nhân.,私は映画を見ます。,Tôi sẽ xem phim.,https://nihongopic.com/wp-content/uploads/2019/08/9d3c78235efe00eeea77fec04daadbb0.png
探します、捜します,tìm kiếm,私は鍵を探しています。,Tôi đang tìm chìa khóa.,彼は失くした本を捜しています。,Anh ấy đang tìm cuốn sách đã mất.,https://www.tanoshiijapanese.com/dictionary/entry_preview/5/57280/74962.png
時間に遅れます,chậm,私は会議に遅れます。,Tôi sẽ đến muộn cuộc họp.,電車が遅れています。,Tàu điện đang bị trễ.,https://nihongopic.com/wp-content/uploads/2019/08/eb36aa3f1deccdc1de8406c570e4b0f1.png
時間に間に合います,kịp,私は授業に間に合います。,Tôi sẽ kịp giờ học.,彼は仕事に間に合いました。,Anh ấy đã đến kịp giờ làm.,https://nihongopic.com/wp-content/uploads/2019/08/e1508eccd5244428cc3565a4a19b3d36.png
やります,làm,私は宿題をやります。,Tôi sẽ làm bài tập về nhà.,彼女は毎日運動をやります。,Cô ấy tập thể dục mỗi ngày.,https://i.makeagif.com/media/3-26-2023/SY8epU.gif
拾います,nhặt,道でお金を拾いました。,Tôi đã nhặt được tiền trên đường.,子供がボールを拾っています。,Đứa trẻ đang nhặt bóng.,https://www.tanoshiijapanese.com/dictionary/entry_preview/5/31858/43267.png
連絡します,liên lạc,友達に連絡します。,Tôi sẽ liên lạc với bạn bè.,彼は明日、会社に連絡します。,Anh ấy sẽ liên lạc với công ty vào ngày mai.,https://t.pimg.jp/030/833/805/1/30833805.jpg
気分が良い,cảm thấy thoải mái,今日は気分が良いです。,Hôm nay tôi cảm thấy thoải mái.,彼女は運動した後、気分が良くなりました。,Cô ấy cảm thấy thoải mái hơn sau khi tập thể dục.,https://assets.blog.engoo.com/wp-content/uploads/sites/15/2023/08/08133243/pexels-andrea-piacquadio-3756168-scaled.jpg
気分が悪い,ko thoải mái,私は気分が悪いです。,Tôi cảm thấy không thoải mái.,彼は食べ過ぎて気分が悪くなりました。,Anh ấy cảm thấy không thoải mái vì ăn quá nhiều.,https://www.aska-pharma.co.jp/mint/womanhealth/futeisyuso/img/sp/img_futeisyuso01_01_sp.png
