word,meaning
見ます、診ます,"chuẩn đoán, khám bệnh"
探します、捜します,tìm kiếm
時間に遅れます,"chậm, muộn giờ"
時間に間に合います,kịp
やります,làm
拾います,"nhặt, lượm"
連絡します,liên lạc
気分が良い,"cảm thấy thoải mái,cảm thấy khoẻ"
気分が悪い,"ko thoải mái, không khoẻ"
運動会,hội thi thể thao
盆踊り,múa Bon
フリーマーケット,"chợ đồ cũ, chợ trời"
場所,"địa điểm, nơi"
ボランティア,tình nguyện viên
財布,ví
ごみ,rác
国会議事堂,toà nhà quốc hội
平日,ngày thường
~弁,"tiếng, giọng~"
今度,lần sau
ずいぶん,"khá là, tương đối"
直接,trực tiếp、đi thẳng
いつでも,lúc nào cũng
どこでも,ở đâu cũng
誰でも,ai cũng
なんでも,cái gì cũng
こんな〜,như thế này
そんな〜,như thế đó
あんな〜,như thế kia
荷物が片付けます,dọn dẹp đồ đạc
ゴミを出します,đổ rác
燃えるゴミ,rác cháy được
置き場,nơi để
横,bên cạnh
瓶,chai
缶,lon
ガス,ga
〜会社,công ty
宇宙,vũ trụ
〜様,"ông, bà, ngài. kính ngữ của さん"
宇宙船,tàu vũ trụ
怖い,sợ
宇宙ステーション,trạm vũ trụ
違います,khác
宇宙飛行士,nhà du hành vũ trụ
飼います,nuôi
道を走ります,chạy (trên đường)
山が見えます,nhìn thấy (núi)
音が聞こえます,"nghe thấy (tiếng, âm thanh)"
道ができます,được hoàn thành (con đường)
教室を開きます,"mở, tổ chức (lớp)"
心配(な),lo lắng
ベット,"thú cưng, động vật nuôi"
鳥,chim
声,tiếng
波,sóng
花火,pháo hoa
道具,dụng cụ
クリーニング,giặt là
家,nhà
マンション,chung cư
キッチン,bếp
〜教室,phòng~
パーティールーム,phòng tổ chức tiệc
方,"vị, ngài (kính ngữ của 人）"
〜後,~ sau về mặt thời gian)
〜しか,chỉ ~ (được dùng với thể phủ định)
他の,khác
はっきり,rõ ràng
家具,đồ nội thất trong nhà
本棚,giá sách
いつか,lúc nào đó
建てます,xây
素晴らしい,tuyệt vời
子どもたち,bọn trẻ
大好きな,rất thích
主人公,nhân vật chính
形,hình dạng
不思議(な),kì lạ
ポケット,chiếc túi
例えば,ví dụ
つけます,gắn
自由に,"tự do, thoải mái"
空,bầu trời
跳びます,bay
昔,ngày xưa
自分,tự mình
将来,tương lai
パンが売れます,bán (bánh mì)
踊ります,múa
ガムをかみます,"nhai, cắn"
選びます,"lựa, lựa chọn"
大学に通います,đi học (đại học)
メモします,"ghi lại, memo"
まじめ（な）,nghiêm túc
熱心（な）,nhiệt tình
えらい,"siêu, giỏi"
