"grammar","meaning"
"～うちに／～ないうちに","Trong lúc... (làm việc gì đó trước khi trạng thái đó thay đổi)."
"～てからでないと／～てからでなければ","Nếu không thực hiện cái nói đằng trước thì điều đằng sau cũng không thực hiện."
"～ところに／～ところへ／～ところを","Đúng lúc, đúng địa điểm, đúng hoàn cảnh ấy..."
"～とおり（に）／～どおり（に）","Làm giống như ~."
"～によって／～により／～による／～によっては","Biểu thị việc ứng với ~ mà có sự khác nhau."
"～たび（に）","Mỗi khi, mỗi dịp ~."
"～ば～ほど","Càng ~ càng ~ . Mặt này có mức độ cao lên, thêm một mặt khác cũng có mức độ cao lên."
"～ほど","Mặt này có mức độ thay đổi, cùng lúc một mặt khác cũng thay đổi mức độ."
"～ついでに","Nhân tiện; tiện thể (Lúc làm việc gì đó, lợi dụng cơ hội đó làm một việc khác)."
"～くらい, ～ぐらい, ～くらいだ, ～ぐらいだ","Biểu thị mức độ trạng thái."
"～くらい。。。はない, ～ぐらい。。。はない, ～ほど。。。はない","Không ai bằng, không cái gì bằng, nhất là."
"～くらいなら。。。, ～ぐらいなら。。。","Nếu trong trường hợp.... thì tốt hơn là...."
"～に限る","Là nhất..., nên...."
"～に対して（は), ～に対し, ～に対しても, ～に対する","Về việc, đối với~ ; chỉ đối tượng, đối phương."
"～反面, ～半面","Mặt khác, mặt trái."
"～一方, ～一方で（は）","Mặt khác, trái lại... (thể hiện sự so sánh)."
"～というより","Là ~ , nhưng cái nói đằng sau mới là thích đáng hơn."
"～かわりに","* Thay vì không ~ (Không làm ~ mà làm một việc khác). * Làm đại lý, thay thế cho ~. * Chỉ có phần tương đương với ~."
"～ため（に)","Vì～, do ～."
"～によって, ～により, ～による, ～によっては","Nhờ vào, do, bởi ~ Chỉ chủ thể của hành động (chủ yếu trong câu bị động)."
"～ことから","Bởi vì ~ (Nói lí do là căn cứ cho câu sau)."
"～おかげで, ～おかげだ","Nhờ, do có... (Biểu thị lòng biết ơn vì nhớ nguyên nhân đó mà có kết quả tốt)."
"～せいだ, ～せいで, ～せいか","Tại vì ~ . (Do nguyên nhân đó mà có kết quả xấu)."
"～ものだから","Tại vì ~ (Hay dùng khi nói lý do, phân trần, biện bạch)."
"もしも~なら","nếu; giả sử; ví như."
"～ては。。。, ～では。。。","Giả sử rằng."
"～さえ～ば","Chỉ cần có ~ hay thành ~, trạng thái sau đó sẽ được thành lập."
"たとえ～ても, たとえ～でも","Ví dụ; nếu như; dù cho; ngay cả nếu; tỉ như ~ thì vẫn ~."
"Ｖ1たら、Ｖ2","Trường hợp một điều kiện nào đó xảy ra thì sẽ kéo theo một hành động được thực hiện một cách khá chắc chắn trong tương lai, thì không dùng 「～ば」, mà dùng「たら」."
"～ということだ","Nghe thấy nói là ~ (cách nói dẫn dụng y nguyên điều nghe được)."
"～といわれている","Mọi người cho rằng."
"～とか","Nghe nói là ~ (chỉ thông tin mang tính gián tiếp)."
"～って","Nghe nói là...."
"...という","nghe nói là / người ta nói là ... Đây là cách nói diễn đạt lời đồn hay lời truyền lại."
"～はずだ, ～はずがない","chắc chắn~, chắc chắn không~."
"～わけがない, ～わけはない","Không có nghĩa là ~, không chắc ~."
"必ずしも~とは限らない","không nhất định; chưa hẳn thế."
"～わけではない, ～わけでもない","Không nhất thiết là ~, không phải là ~."
"～ないことはない, ～ないこともない","Cũng có khả năng là..., không phải là không thể...."
"～ないではいられない, ～ずにはいられない","Dù thế nào cũng đã làm... (Dù thế nào cũng không thể chịu đựng, Dùng khi muốn nói tự nhiên mà thành như thế)."
"ことはが...","Việc~ thì không phủ định nhưng....."
"～てほしい, ～てもらいたい","Dùng khi mong muốn ai đó làm gì đó cho mình."
"～（さ）せてもらいたい, ～（さ）せていただきたい, ～（さ）せてほしい","Xin cho tôi làm việc gì đó~."
"~たらいいなあ, ~といいなあ","Thể hiện yêu cầu; nguyện cầu; mong ước."
"～ばよかった","Giá mà~ (thể hiện sự hối hận; sự ăn năn; sự hối lỗi; sự ân hận)."
"Cách chia từ thể từ điển sang thể mệnh lệnh","Cách chuyển động từ từ thể từ điển sang thể mệnh lệnh."
"Cách chia từ thể từ điển sang thể cấm đoán","Cách chuyển động từ từ thể từ điển sang thể cấm đoán."
"～こと","Danh từ hóa động từ. Nghĩa là \"Hãy làm/ hãy không làm\". Thường dùng trong các cảnh báo, bản tin."
"～べき, ～べきだ, ～べきではない","Làm như thế là đương nhiên, nên làm ~."
"～たらどうか","Nếu... thì thế nào?."
"～ことにしている","Nói về việc bản thân mình đã quyết định làm gì đó."
"～ようにする","Cố gắng."
"～ようにしてください","Dùng trong trường hợp nhờ hay khuyên ai đó 1 cách mềm mỏng hãy cố gắng làm V hoặc đừng quên làm V."
"ようとする","Diễn tả việc khi bắt đầu làm hành động 1 thì có hành động 2 xảy ra."
