grammar,meaning,example_sentences_1,meaning_example_sentences_1,example_sentences_2,meaning_example_sentences_2,image_url
～うちに／～ないうちに,Trong lúc... (làm việc gì đó trước khi trạng thái đó thay đổi).,雨が降らないうちに、帰りましょう。,Hãy về trước khi trời mưa.,若いうちに、たくさん旅行したいです。,Tôi muốn đi du lịch nhiều khi còn trẻ.,
～てからでないと／～てからでなければ,Nếu không thực hiện cái nói đằng trước thì điều đằng sau cũng không thực hiện.,宿題をしてからでないと、遊びに行けません。,Nếu không làm bài tập thì không thể đi chơi.,許可をもらってからでなければ、ここに入れません。,Nếu không được phép thì không thể vào đây.,
～ところに／～ところへ／～ところを,Đúng lúc,出かけようとしたところに、電話がかかってきた。,Đúng lúc định ra ngoài thì có điện thoại gọi đến.,寝ているところを起こされました。,Tôi bị đánh thức đúng lúc đang ngủ.,
～とおり（に）／～どおり（に）,Làm giống như ~.,先生が言ったとおりに、やってみてください。,Hãy thử làm giống như thầy giáo đã nói.,地図のとおりに行けば、迷わないよ。,Nếu đi theo bản đồ thì sẽ không bị lạc đâu.,
～によって／～により／～による／～によっては,Biểu thị việc ứng với ~ mà có sự khác nhau.,人によって考え方が違います。,Cách suy nghĩ khác nhau tùy theo từng người.,天気によって、予定が変わるかもしれません。,Tùy theo thời tiết mà kế hoạch có thể thay đổi.,
～たび（に）,Mỗi khi,彼に会うたびに、新しいことを学びます。,"Mỗi khi gặp anh ấy, tôi học được điều mới.",この曲を聞くたびに、昔を思い出します。,"Mỗi khi nghe bài hát này, tôi lại nhớ về ngày xưa.",
～ば～ほど,Càng ~ càng ~ . Mặt này có mức độ cao lên,勉強すればするほど、知識が増えます。,Càng học thì kiến thức càng tăng.,安ければ安いほど、たくさん買います。,Càng rẻ thì càng mua nhiều.,
～ほど,Mặt này có mức độ thay đổi,忙しい人ほど、時間の使い方が上手です。,Người càng bận rộn thì càng giỏi sử dụng thời gian.,彼女ほど優しい人はいません。,Không có ai hiền lành như cô ấy.,
～ついでに,Nhân tiện; tiện thể (Lúc làm việc gì đó,買い物のついでに、郵便局に寄りました。,"Nhân tiện đi mua sắm, tôi đã ghé qua bưu điện.",散歩のついでに、花を買いました。,"Tiện thể đi dạo, tôi đã mua hoa.",
～くらい,～ぐらい,毎日、歩けるくらい元気です。,Tôi khỏe đến mức có thể đi bộ mỗi ngày.,彼女は泣きたいくらい嬉しかった。,Cô ấy vui đến mức muốn khóc.,
～くらい。。。はない,～ぐらい。。。はない,彼女くらい優しい人はいない。,Không có ai tốt bụng như cô ấy.,この映画くらい感動するものはない。,Không có bộ phim nào cảm động như bộ phim này.,
～くらいなら。。。,～ぐらいなら。。。,そんなことをするくらいなら、何もしない方がいい。,Nếu phải làm việc đó thì thà không làm gì còn hơn.,彼に謝るくらいなら、死んだ方がましだ。,Nếu phải xin lỗi anh ta thì thà chết còn hơn.,
～に限る,Là nhất...,疲れた時は温泉に行くに限る。,Khi mệt mỏi thì đi suối nước nóng là nhất.,夏はやっぱりアイスクリームに限る。,Mùa hè thì kem là nhất.,
～に対して（は),～に対し,彼の意見に対して、私は反対です。,Tôi phản đối ý kiến của anh ấy.,この問題に対して、どう思いますか？,Bạn nghĩ sao về vấn đề này?,
～反面,～半面,彼は優しい反面、厳しいところもある。,Anh ấy vừa hiền lành nhưng cũng có lúc nghiêm khắc.,この仕事は楽しい反面、ストレスも多い。,Công việc này vừa vui nhưng cũng nhiều căng thẳng.,
～一方,～一方で（は）,彼は勉強が得意な一方で、スポーツは苦手だ。,Anh ấy giỏi học nhưng lại kém thể thao.,この町は静かな一方で、交通が不便だ。,Thị trấn này yên tĩnh nhưng giao thông lại bất tiện.,
～というより,Là ~,彼は賢いというより、ずる賢い。,Anh ta là xảo quyệt hơn là thông minh.,これは料理というより、芸術だ。,Đây là nghệ thuật hơn là món ăn.,
～かわりに,* Thay vì không ~ (Không làm ~ mà làm một việc khác). * Làm đại lý,彼はお金を払うかわりに、私に手伝ってくれた。,"Thay vì trả tiền, anh ấy đã giúp tôi.",父のかわりに、私が会議に出席します。,Tôi sẽ tham dự cuộc họp thay cho bố.,
～ため（に),Vì～,雨のため、試合が中止になった。,Vì mưa nên trận đấu bị hủy.,健康のために、毎日運動しています。,"Vì sức khỏe, tôi tập thể dục mỗi ngày.",
～によって,～により,この問題は専門家によって解決されました。,Vấn đề này đã được giải quyết bởi các chuyên gia.,地震によって多くの家が壊れました。,Nhiều ngôi nhà đã bị phá hủy do động đất.,
～ことから,Bởi vì ~ (Nói lí do là căn cứ cho câu sau).,彼は日本に長く住んでいたことから、日本語が上手です。,"Bởi vì anh ấy đã sống lâu ở Nhật, nên tiếng Nhật của anh ấy giỏi.",この道が狭いことから、交通事故が多いです。,"Bởi vì con đường này hẹp, nên có nhiều tai nạn giao thông.",
～おかげで,～おかげだ,先生のおかげで試験に合格しました。,Nhờ có thầy giáo mà tôi đã đỗ kỳ thi.,友達のおかげで新しい仕事を見つけました。,Nhờ có bạn bè mà tôi đã tìm được công việc mới.,
～せいだ,～せいで,雨のせいで試合が中止になりました。,Do mưa mà trận đấu đã bị hoãn.,彼のせいで計画が失敗しました。,Do anh ấy mà kế hoạch đã thất bại.,
～ものだから,Tại vì ~ (Hay dùng khi nói lý do),急いでいたものだから、忘れ物をしてしまいました。,Tại vì vội quá nên tôi đã để quên đồ.,疲れていたものだから、早く寝ました。,Tại vì mệt nên tôi đã đi ngủ sớm.,
もしも~なら,nếu; giả sử; ví như.,もしも明日雨なら、ピクニックは中止です。,"Nếu ngày mai mưa, buổi dã ngoại sẽ bị hủy.",もしも宝くじが当たったら、旅行に行きたいです。,"Nếu trúng xổ số, tôi muốn đi du lịch.",
～ては。。。,～では。。。,こんなに寒くては、外で遊べません。,Nếu lạnh như thế này thì không thể chơi ngoài trời được.,雨が降っては、試合はできません。,Nếu trời mưa thì không thể thi đấu được.,
～さえ～ば,Chỉ cần có ~ hay thành ~,お金さえあれば、何でも買えます。,"Chỉ cần có tiền, cái gì cũng có thể mua được.",時間さえあれば、もっと勉強できるのに。,"Chỉ cần có thời gian, tôi có thể học nhiều hơn.",
たとえ～ても,たとえ～でも,たとえ雨が降っても、試合は行われます。,"Dù trời có mưa, trận đấu vẫn sẽ diễn ra.",たとえ忙しくても、運動する時間を作ります。,"Dù bận rộn, tôi vẫn dành thời gian để tập thể dục.",
Ｖ1たら、Ｖ2,Trường hợp một điều kiện nào đó xảy ra thì sẽ kéo theo một hành động được thực hiện một cách khá chắc chắn trong tương lai,雨が止んだら、出かけましょう。,"Nếu mưa tạnh, chúng ta hãy đi ra ngoài.",宿題が終わったら、テレビを見てもいいです。,"Nếu làm xong bài tập, bạn có thể xem TV.",
～ということだ,Nghe thấy nói là ~ (cách nói dẫn dụng y nguyên điều nghe được).,彼は来月結婚するということだ。,Nghe thấy nói là anh ấy sẽ kết hôn vào tháng sau.,この映画はとても面白いということだ。,Nghe thấy nói là bộ phim này rất thú vị.,
～といわれている,Mọi người cho rằng.,この薬は効果があるといわれている。,Mọi người cho rằng thuốc này có hiệu quả.,彼は天才だといわれている。,Mọi người cho rằng anh ấy là thiên tài.,
～とか,Nghe nói là ~ (chỉ thông tin mang tính gián tiếp).,彼は来年日本に行くとか。,Nghe nói là anh ấy sẽ đi Nhật vào năm sau.,新しいレストランがオープンしたとか。,Nghe nói là một nhà hàng mới đã mở cửa.,
～って,Nghe nói là....,彼女は来週旅行に行くって。,Nghe nói là cô ấy sẽ đi du lịch vào tuần sau.,この本は面白いって。,Nghe nói là cuốn sách này thú vị.,
...という,Nghe nói là / người ta nói là ... Đây là cách nói diễn đạt lời đồn hay lời truyền lại.,彼は有名な作家だという。,Nghe nói là anh ấy là một nhà văn nổi tiếng.,この町は昔から美しいという。,Nghe nói là thị trấn này đã đẹp từ xưa.,
～はずだ,～はずがない,彼がそんなことをするはずがない。,Không có lý nào anh ấy lại làm chuyện đó.,この時計は壊れるはずがない。,Không có lý nào cái đồng hồ này lại hỏng.,
～わけがない,～わけはない,彼が嘘をつくわけがない。,Không có lý nào anh ấy lại nói dối.,そんなことが起こるわけがない。,Không có lý nào chuyện đó lại xảy ra.,
必ずしも~とは限らない,Không nhất định; chưa hẳn thế.,高いものが必ずしも良いとは限らない。,Đồ đắt tiền chưa hẳn đã tốt.,彼が正しいとは限らない。,Chưa hẳn anh ấy đã đúng.,
～わけではない,～わけでもない,彼が嫌いなわけではない。,Không phải là tôi ghét anh ấy.,全部理解したわけではない。,Không phải là tôi đã hiểu hết.,
～ないことはない,～ないこともない,彼の気持ちがわからないことはない。,Không phải là tôi không hiểu cảm giác của anh ấy.,この料理は美味しくないことはない。,Không phải là món ăn này không ngon.,
～ないではいられない,～ずにはいられない,彼の話を聞いて、笑わずにはいられなかった。,"Nghe câu chuyện của anh ấy, tôi không thể không cười.",この映画を見ると、泣かずにはいられない。,"Xem bộ phim này, tôi không thể không khóc.",
ことはが...,Việc~ thì không phủ định nhưng.....,彼の努力は認めることは認めるが、結果が出ていない。,Việc công nhận nỗ lực của anh ấy thì không phủ định nhưng kết quả vẫn chưa có.,料理が美味しいことは美味しいが、量が少ない。,Việc món ăn ngon thì không phủ định nhưng lượng ít.,
～てほしい,～てもらいたい,彼にもっと勉強してほしい。,Tôi muốn anh ấy học nhiều hơn.,親に健康でいてほしい。,Tôi muốn bố mẹ luôn khỏe mạnh.,
～（さ）せてもらいたい,～（さ）せていただきたい,このプロジェクトを担当させてもらいたい。,Tôi muốn được phụ trách dự án này.,少し休ませてもらいたい。,Tôi muốn được nghỉ ngơi một chút.,
