word,meaning
うちに / Vru / N-no / A(na) / A(i),Trong lúc (Mang tính tranh thủ)
間 / 間に / Vru / N-no,Trong suốt/ Trong khi
てからでないと / てからでなければ,Nếu không làm V1 thì V2 (khó mà thực hiện được...)
Vること / Vているところ,Sắp sửa / Đang lúc V / Vừa mới làm V
とおり(に/だ) / Vru / N-no +とおり / N +どおり,"Theo như, đúng theo như"
によって / によっては / N +,Tùy vào/ Tùy từng trường hợp mà
たび(に) / Vru / N-no,Cứ mỗi khi...lại
ば / V-ば / V-ほど,Nếu điều kiện giả định trước thì Thế thông thường trước càng
ついでに / N-no / Vru,Nhân tiện
ぐらい,Chỉ ít/ Khoảng bằng
くらい / ほど / Vru / N,"Đến mức, Tới mức"
くらい / ほど ~ Nはない/ N+,Không có N nào bằng
ぐらいなら / くらいならば / Vru,Nếu phải V thì thà
Nに限る / N / Vru,"Là nhất, là tốt nhất"
に対して / Vru - no / N,Đối với
～反面 / Vru,Mặt khác
一方で(で) / Vru,"Một mặt thì V, mặt khác thì"
というより,Nên nói là... thì đúng hơn
～かわりに / Vru,"Thay vào đó, bù lại"
～ためだ / ～ため(に),Bởi vì (Chỉ nguyên nhân)
～による / N + によって,Do/ Vì (dẫn sau là hậu quả)
から / ことから / Vru + ことから / N + から,Vì (Từ việc V dẫn đến kết quả)
おかげだ / おかげで / N / Vru,Nhờ vào (dẫn sau là kết quả tốt đẹp)
～せいで / ～せいだ / Vru / N-no / Ana+na,"Do, tại vì (dẫn sau là kết quả tiêu cực)"
…だから / N / Ana+na / A/V,Bởi vì (vì thực sự là... nên đương nhiên)
～(の)なら / Vru +(の)なら / N/Ana+なら,Nếu/ Giả sử (Điều kiện giả định)
～ては / (の)では / N/Anaでは / Vでは,Nếu / Nếu như mà
～さえ～ば / ～さえ～なら,Chỉ cần...là đủ
N+さえ,Ngay cả / Đến cả
たとえ～ても / たとえ～でも,Cho dù... đi nữa thì
～ということだ / とのことだ / Vru,Nghe nói là ... thì đúng
～と言われている / Vru,Được cho rằng/ Người ta nói rằng
～とか / Vru,Nghe đâu... thì phải
～って / Vru,(Trích dẫn) Rằng
～という / Vru,Nghe nói (Văn cứng)
わけだ / Vru / A/N + na,Vậy là (Kết luận)
～はずがない / わけがない,Chắc chắn không / Làm gì có chuyện
～とは限らない / Vru,Không nhất thiết/ Chưa chắc đã
～わけではない / ～というわけではない / ～のではない,Không phải là / Không hẳn là / Không có nghĩa là
わけにはいかない,Không thể V
ないわけにはいかない,Không thể không V
～ないことはない / Vnai,Không phải là không
～ことは～が,Có thể thấy...nhưng mà
てもらいたい / いただきたい / ほしい / Vte,Muốn ai đó làm gì cho mình
させてもらいたい / させていただきたい / させてほしい,Cho phép tôi (làm)
～といい / ～ばいい / ～たらいい,Ước gì/ Mong là (ước điều trong tương lai)/ Nên/ không nên
命令 (しろ) / 禁止 (な),Hãy (Mệnh lệnh) / Không được (Cấm)
こと / Vru,Phải / Không được (Mệnh lệnh trong văn cứng)
べきだ / べき / べきではない,Nên / Cần làm gì / Không nên làm gì (Lời khuyên)
たらどうですか / Vta,Thử làm V xem sao (lời khuyên)
ことにする / ことにしている,Tôi quyết định
～ようにする / ～ようにしている,Tôi cố gắng làm gì
(よ)うとする,Định làm gì
～つもりだ / N+no / Ana+na / Vta,Cứ tưởng rằng / Cứ cho rằng
こそ / N+こそ,Chính
でも/N+でも,Thậm chí chỉ/ Ngay cả/ Những thứ như là
も,Hoàn toàn không / Đến ngay cả
まで,Tới cả... cũng
など / なんか / なんて,Chẳng hạn như/ Những thứ như là (coi nhẹ)
について / N+ について,Về (một vấn đề/chủ đề)
にとって / N+にとって,Đối với / Nhìn từ lập trường của
として / N+として,Với tư cách / Với vai trò là
ことがある / こともある / Vru,Có lúc
ことはない / Vru,Không cần phải
(かの)ようだ / のようだ / N / Vru,Giống như là / Cứ như là
ように / Nno / Vru,"Giống như/ Như là, chẳng hạn như"
ように / N+no / Vru,"Đúng như/ Như những gì mà (đã nói, đã nghe...)"
ように / N+no / Vru,Để V/ Để không V (sự kì vọng)
～よう(に) / いう / 注意する / 頼む / Vru / Vnai,(Bảo/ Chủ ý/ nhờ) Hãy V/ đừng V
N (+trợ từ) ばかり,Chỉ toàn N
Vてばかりいる,V suốt ngày/ V hoài
ばかりか = ばかりでなく,Không chỉ ... mà còn
Vたばかりだ,Vừa mới làm V
Vるばかりだ,(xu hướng) cứ V/ (hoàn tất) chỉ còn (chờ) V là xong
ばかりに / Vtaばかりに / Aばかりに,Chỉ vì/ Chỉ tại
～も。～も。～も,"Cũng, và ... cũng"
…といった / N+といった,Ví dụ như / Những thứ như là...
～っけ？ / Vta / N / Ana+だ / Ai+かった,Ấy nhỉ (xác nhận lại thông tin)
～がる / Vたがる,Ai đó muốn làm gì (chỉ dùng cho chủ ngữ ngôi 3)
～た(ま)らない / ～てならない / ～てしょうがない,Rất (nỗi không chịu được)
～最中に / Vている / N+の,Trong lúc đang.../ Đúng lúc đang...
～たとたん / Vta,Vừa mới...thì
～から～にかけて / ～N～N,Từ...đến...
～(んだ)もの / もん / Vる,Ấy là tại vì...
～に決まっている / Vる / N / Ana+に決まっている,Nhất định/ Chắc chắn
～に違いない / Vる / N / Ana+に違いない,Chắc chắn là / Nhất định
～おそれがある / Vru / N+の,"E là, e rằng"
～にすぎない / Vる / N+にすぎない,Chỉ là / Đơn giản là
～ことか / ことに / ことだ / Vる,Thật là... biết bao
～ものか / もんか / Vる,Không đời nào / Nhất định không
～としたら / ～とすれば / Vる,Giả sử (điều kiện khó xảy ra)
～を通して / ～を通して / N +,"Thông qua (phương tiện, cách thức)"
～しかない / ほかない / はない,Không còn cách nào khác/ Đành phải
～をこめて / N,"Gửi gắm (tình cảm, tấm lòng, tâm trạng)"
Vたまま / Vますっぱなし,Để V nguyên
N+っきり / N+っきり,Chỉ
Vたきり,Kể từ khi V (thì không có sự thay đổi nào nữa)
～ふりをする / Vる / Ana+na / N+の,Giả vờ/ Tỏ ra
～くせに / Vる / Ana+na / N+の,Mặc dù... vậy mà
N1はもとろん、N2も,"N1 là đương nhiên rồi, nhưng N2 cũng"
Vます + はじめる,Bắt đầu làm gì
Vてはじめて,"Kể từ khi V thì mới nhận ra, hiểu ra..."
Vます + たて,Vừa mới V xong
Nをはじめ(として),N là trước tiên phải kể đến là
Vます + かけ,"Làm V còn dang dở, chưa xong"
Vます + 上がる / Vます + 上げる,"Vừa xong, vừa hoàn thành"
N+だらけ,"Đầy, toàn (những thứ gây khó chịu)"
Vます + きる / 切れる,Hoàn thành V một cách triệt để
Vます + 出す,Bắt đầu làm V (một cách đột ngột)
Vます + 通す,Suốt V / Làm V một mạch từ đầu đến cuối
Vます + がち,Hay V / Thường có khuynh hướng làm V
