word,meaning
女性,じょせい<br>phụ nữ
男性,だんせい<br>đàn ông
高齢,こうれい<br>cao tuổi
年上,としうえ<br>hơn tuổi
目上,めうえ<br>bề trên
先輩,せんぱい<br>tiền bối
後輩,こうはい<br>hậu bối
上司,じょうし<br>cấp trên
相手,"あいて<br>đối tác, đối thủ"
知り合い,しりあい<br>người quen
友人,ゆうじん<br>bạn bè
仲,なか<br>mối quan hệ
生年月日,せいねんがっぴ<br>ngày tháng năm sinh
誕生,たんじょう<br>ra đời
年,とし<br>năm
出身,しゅっしん<br>quê quán
故郷,こきょう<br>cố hương
成長,せいちょう<br>trưởng thành
成人,せいじん<br>người trưởng thành
合格,"ごうかく<br>thi đỗ, thi đậu"
進学,しんがく<br>vào đại học
退学,たいがく<br>bỏ học
就職,しゅうしょく<br>có việc làm
退職,たいしょく<br>nghỉ việc
失業,しつぎょう<br>thất nghiệp
残業,ざんぎょう<br>làm thêm
生活,せいかつ<br>cuộc sống
通勤,つうきん<br>đi làm
学歴,がくれき<br>bằng cấp
給料,きゅうりょう<br>tiền lương
面接,めんせつ<br>phỏng vấn
休憩,きゅうけい<br>nghỉ ngơi
観光,かんこう<br>tham quan
帰国,きこく<br>về nước
帰省,きせい<br>về quê
帰宅,きたく<br>về nhà
参加,さんか<br>tham gia
出席,しゅっせき<br>có mặt
欠席,けっせき<br>vắng mặt
遅刻,ちこく<br>đến muộn
化粧,けしょう<br>trang điểm
計算,けいさん<br>tính toán
計画,けいかく<br>kế hoạch
成功,せいこう<br>thành công
失敗,しっぱい<br>thất bại
準備,じゅんび<br>chuẩn bị
整理,せいり<br>chỉnh sửa
注文,ちゅうもん<br>đặt hàng
貯金,ちょきん<br>tiết kiệm
徹夜,てつや<br>thức xuyên đêm
引っ越し,ひっこし<br>chuyển nhà
身長,しんちょう<br>chiều cao
体重,たいじゅう<br>cân nặng
けが,けが<br>vết thương
会,"かい<br>hội, tiệc"
趣味,しゅみ<br>sở thích
興味,きょうみ<br>hứng thú
思い出,おもいで<br>nhớ lại
冗談,じょうだん<br>đùa cợt
目的,もくてき<br>mục đích
約束,やくそく<br>lời hứa
おしゃべり,おしゃべり<br>nói chuyện riêng
遠慮,えんりょ<br>ngại ngần
我慢,がまん<br>chịu đựng
迷惑,めわく<br>làm phiền
希望,きぼう<br>hi vọng
夢,ゆめ<br>giấc mơ
賛成,さんせい<br>đồng ý
反対,"はんたい<br>đối lập, phản đối"
想像,そうぞう<br>tưởng tượng
努力,どりょく<br>nỗ lực
太陽,たいよう<br>mặt trời
地球,ちきゅう<br>trái đất
温度,おんど<br>nhiệt độ
湿度,しつど<br>độ ẩm
湿気,しっけ<br>hơi ẩm
梅雨,つゆ<br>mùa mưa
かび,かび<br>nấm mốc
暖房,だんぼう<br>điều hòa ấm
皮,"かわ<br>da, vỏ ( trái cây, động vật)"
缶,かん<br>can
画面,がめん<br>màn hình
番組,"ばんぐみ<br>chương trình (TV, radio)"
記事,きじ<br>ký sự
近所,きんじょ<br>hàng xóm
警察,けいさつ<br>cảnh sát
犯人,はんにん<br>tội phạm
小銭,こぜに<br>tiền lẻ
ごちそう,ごちそう<br>chiêu đãi
作者,さくしゃ<br>tác giả
作品,さくひん<br>tác phẩm
制服,せいふく<br>đồng phục
洗剤,せんざい<br>bột giặt
底,そこ<br>đáy
地下,ちか<br>ngầm
寺,てら<br>chùa
道路,どうろ<br>đường
坂,さか<br>dốc
煙,けむり<br>khói
灰,はい<br>tàn
判,はん<br>con dấu
名刺,めいし<br>danh thiếp
免許,めんきょ<br>giấy phép
多く,おおく<br>nhiều
前半,ぜんはん<br>phần đầu
後半,こうはん<br>phần cuối
最高,さいこう<br>cao nhất
最低,さいてい<br>thấp nhất
最初,さいしょ<br>đầu tiên
最後,さいご<br>cuối cùng
自動,じどう<br>tự động
種類,しゅるい<br>loại
性格,せいかく<br>tính cách
性質,せいしつ<br>tính chất
